age,income,region,job_type,owns_car,amount_spent,score,target
56,65094,South,Admin,0,1115,0.37,0
46,41346,West,Sales,0,938,0.62,0
32,62535,North,Tech,0,1526,0.72,0
60,33054,West,HR,1,1471,0.11,0
25,57947,South,HR,0,860,0.04,0
38,71623,South,Sales,0,954,0.99,0
56,12925,West,Admin,0,977,0.23,0
36,38046,South,Admin,1,864,0.05,0
40,58656,East,Admin,0,1058,0.19,0
28,46954,East,Admin,0,772,0.04,0
28,55567,South,Admin,0,660,0.39,0
41,40940,East,Sales,0,1186,0.8,0
53,51298,North,HR,0,1188,0.34,0
57,47664,West,HR,1,758,0.44,0
41,67516,North,Sales,1,1268,0.68,1
20,53816,West,Admin,1,810,0.51,0
39,55064,South,Sales,0,1075,0.86,0
19,43821,North,HR,1,1246,0.87,0
41,42685,South,Tech,1,989,0.01,0
61,43511,South,Sales,1,1136,0.78,0
47,55916,West,Admin,0,845,0.46,0
55,43685,West,HR,0,941,0.99,0
19,54346,West,HR,1,938,0.48,0
38,81131,North,HR,1,776,0.99,1
50,63066,East,HR,0,946,0.75,0
29,45109,West,Admin,0,535,0.25,0
39,68018,West,Tech,1,852,0.54,1
61,43878,North,HR,0,914,0.99,0
42,19428,West,Sales,1,923,0.86,0
44,34878,North,Tech,0,927,0.1,0
59,21938,South,HR,1,981,0.71,0
45,44727,West,Tech,1,1143,0.35,0
33,50276,West,Sales,0,1262,0.01,0
32,75146,South,HR,1,805,0.4,0
64,54903,South,Sales,1,639,0.23,0
61,46713,South,Admin,1,687,0.82,0
20,62441,West,HR,0,853,0.34,0
54,16832,East,HR,0,894,0.83,0
24,53534,East,HR,0,769,0.0,0
38,61562,East,HR,1,611,0.31,0
26,27821,West,Admin,0,863,0.24,0
56,67156,South,HR,1,1054,0.23,0
35,55077,West,Tech,1,1178,0.07,0
21,43770,South,HR,0,832,0.19,0
42,59491,West,Admin,0,876,0.56,0
31,84060,West,HR,1,721,0.29,0
26,52727,South,Tech,1,990,0.42,0
43,53723,East,Admin,0,745,0.38,0
19,43109,South,Admin,0,1171,0.88,0
37,37252,North,Tech,0,464,0.91,0
45,62455,North,Tech,1,892,0.49,0
64,37158,South,Tech,1,1090,0.33,0
24,51073,West,Tech,1,1055,0.11,0
61,42835,North,Tech,1,1807,0.95,0
25,57184,North,Admin,1,1104,0.06,0
64,55004,West,Admin,0,698,0.3,0
52,65563,West,HR,0,971,0.3,0
31,42349,East,HR,1,467,0.32,0
34,45951,West,Sales,1,975,0.16,0
53,35318,South,HR,0,750,0.78,0
57,43335,South,HR,0,1274,0.12,0
21,55659,East,Tech,0,835,0.63,0
19,61354,North,Tech,0,964,0.12,0
23,36167,North,HR,1,809,0.07,0
59,63044,West,Sales,0,1521,0.91,0
21,70334,South,Tech,1,903,0.19,0
46,56201,North,HR,0,1549,0.82,0
35,78151,East,HR,0,1244,0.54,0
43,38393,East,Admin,0,1144,0.08,0
61,31330,South,Sales,1,1110,0.96,0
51,23319,East,Admin,1,1118,0.25,0
27,72440,East,Sales,0,421,0.86,0
53,59815,South,Tech,1,916,0.17,0
31,49166,West,Sales,1,1253,0.85,0
48,54199,West,HR,0,985,0.01,0
32,33117,East,HR,0,578,0.51,0
25,86686,West,Sales,1,984,0.77,1
31,51938,West,Sales,1,1511,0.93,0
40,51640,East,Sales,1,1374,0.91,0
57,60886,West,Admin,0,981,0.82,0
38,57215,East,Sales,0,1285,0.89,0
33,53358,North,Tech,1,890,0.2,0
62,38142,South,Admin,0,488,0.28,0
35,57072,South,Admin,0,722,0.29,0
64,78230,West,Sales,1,1468,0.38,0
41,70181,West,Tech,1,917,0.39,0
43,73897,West,Admin,0,926,0.54,0
